S. No.,Question,Student Answer
1, Define source? ,"Evidence (material, object, testimony) used by historians to interpret the past."
2,Feudalism?,"Medieval system based on land tenure (fiefs) and military service, creating a lord-vassal hierarchy."
3,Rajputs?,"Diverse groups of warrior clans who dominated North/Central India, known for martial traditions and regional kingdoms."
4, What is 'feudalism' in the context of medieval India?,"System involving land grants to elites (samantas), leading to political decentralisation and the exercise of power over peasants."
5,Who were the Rajputs?,Heterogenous warrior clans claiming Kshatriya status who integrated into the Mughal administration through alliances.
6, How did repeated invasions shape political alignments in north India?,"Forced rulers into temporary coalitions, destroyed old centres, and led to strategic alliances (e.g., Rajputs with Mughals) for survival."
7,Describe the social consequences of the Mughal treasurys depletion.,"Caused the Jagirdari crisis, leading to increased revenue exploitation of the peasantry, and the rise of autonomous regional elites."
8, How did the Maratha practice of granting autonomy to chiefs affect long-term unity?,"Created a loose confederacy of powerful, rivalrous chiefs, causing internal conflicts, which undermined military coordination and led to vulnerability against the British."
9,Explain comprehensively the sequence of events and consequences surrounding Nadir Shahs invasion of Delhi in 1739.,"Sequence: Defeated Mughals at Karnal, occupied Delhi, ordered a massacre, and plundered the Peacock Throne/Koh-i-Noor. Consequence: Financial ruin, destroyed Mughal prestige, and accelerated political fragmentation and future invasions."
10,"Analyse the causes and consequences of Maratha expansion across India between 1720 and 1761. Consider administrative, military and economic aspects.",Organisation evolved from Banda Bahadur's state to the Dal Khalsa (unified military command) and Misls (sovereign territories). The Rakhi system provided protection for a tax. The Misls were unified by Maharaja Ranjit Singh into a centralized empire.
11,"Analyse the causes and consequences of Maratha expansion across India between 1720 and 1761. Consider administrative, military and economic aspects.","Causes: Strong Peshwa leadership, Mughal decline, effective guerrilla tactics, and the need to collect Chauth. Consequences: Administrative decentralisation (confederacy), transition to European-style army, economic dependence on tribute, and the devastating defeat at Panipat (1761)."
